cpus=64
    tmpe7c078.sh-3450  [040]   221.745574: sched_process_fork:   comm=tmpe7c078.sh pid=3450 child_comm=tmpe7c078.sh child_pid=3454
    tmpe7c078.sh-3450  [040]   221.745585: sched_wakeup_new:     tmpe7c078.sh:3454 [120] CPU:048
    tmpe7c078.sh-3450  [040]   221.745585: sched_wake_idle_without_ipi: cpu=48
          <idle>-0     [048]   221.745588: sched_switch:         swapper/48:0 [120] R ==> tmpe7c078.sh:3454 [120]
    tmpe7c078.sh-3450  [040]   221.745659: sched_process_wait:   comm=tmpe7c078.sh pid=0 prio=120
    tmpe7c078.sh-3450  [040]   221.745661: sched_switch:         tmpe7c078.sh:3450 [120] S ==> swapper/40:0 [120]
    tmpe7c078.sh-3454  [048]   221.745914: sched_process_exec:   filename=/usr/bin/sleep pid=3454 old_pid=3454
    tmpe7c078.sh-3454  [048]   221.746274: sched_switch:         sleep:3454 [120] S ==> swapper/48:0 [120]
          <idle>-0     [040]   221.749308: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [040]   221.749311: sched_wake_idle_without_ipi: cpu=24
          <idle>-0     [024]   221.749318: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.749322: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.749334: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [024]   221.757300: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [024]   221.757307: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.757317: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.757335: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [024]   221.765293: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [024]   221.765299: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.765310: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.765328: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [046]   221.769299: sched_waking:         comm=kworker/46:1 pid=547 prio=120 target_cpu=046
          <idle>-0     [046]   221.769305: sched_wakeup:         kworker/46:1:547 [120] CPU:046
          <idle>-0     [046]   221.769311: sched_switch:         swapper/46:0 [120] R ==> kworker/46:1:547 [120]
    kworker/46:1-547   [046]   221.769325: sched_switch:         kworker/46:1:547 [120] W ==> swapper/46:0 [120]
          <idle>-0     [024]   221.773298: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [024]   221.773305: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.773324: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
          <idle>-0     [040]   221.773331: sched_process_free:   comm=tmpe7c078.sh pid=3451 prio=120
     rcu_preempt-17    [024]   221.773338: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [024]   221.781295: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [024]   221.781301: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.781314: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.781323: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [036]   221.785301: sched_process_free:   comm=tmpe7c078.sh pid=3452 prio=120
          <idle>-0     [042]   221.785314: sched_waking:         comm=kworker/42:1 pid=536 prio=120 target_cpu=042
          <idle>-0     [042]   221.785320: sched_wakeup:         kworker/42:1:536 [120] CPU:042
          <idle>-0     [042]   221.785322: sched_waking:         comm=ksoftirqd/42 pid=270 prio=120 target_cpu=042
          <idle>-0     [042]   221.785324: sched_wakeup:         ksoftirqd/42:270 [120] CPU:042
          <idle>-0     [042]   221.785330: sched_switch:         swapper/42:0 [120] R ==> ksoftirqd/42:270 [120]
    ksoftirqd/42-270   [042]   221.785333: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
    ksoftirqd/42-270   [042]   221.785335: sched_wake_idle_without_ipi: cpu=24
    ksoftirqd/42-270   [042]   221.785336: sched_process_free:   comm=tr pid=3453 prio=120
    ksoftirqd/42-270   [042]   221.785346: sched_switch:         ksoftirqd/42:270 [120] S ==> kworker/42:1:536 [120]
    kworker/42:1-536   [042]   221.785373: sched_switch:         kworker/42:1:536 [120] W ==> swapper/42:0 [120]
          <idle>-0     [024]   221.785387: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [024]   221.785391: sched_switch:         swapper/24:0 [120] R ==> rcu_preempt:17 [120]
     rcu_preempt-17    [024]   221.785400: sched_switch:         rcu_preempt:17 [120] W ==> swapper/24:0 [120]
          <idle>-0     [024]   221.793296: sched_waking:         comm=rcu_preempt pid=17 prio=120 target_cpu=024
          <idle>-0     [000]   221.793296: sched_waking:         comm=kworker/0:4 pid=686 prio=120 target_cpu=000
          <idle>-0     [024]   221.793302: sched_wakeup:         rcu_preempt:17 [120] CPU:024
          <idle>-0     [000]   221.793303: sched_wakeup:         kworker/0:4:686 [120] CPU:000
